"sample_name","fastq_path","library"
"EwS_T1","SRR5222549.fastq.gz","CALCULATE"
"EwS_T2","SRR5222550.fastq.gz","CALCULATE"
"EwS_T3","SRR5222551.fastq.gz","CALCULATE"
"EwS_T4","SRR5222552.fastq.gz","CALCULATE"
"EwS_T5","SRR5222553.fastq.gz","CALCULATE"
"EwS_T6","SRR5222554.fastq.gz","CALCULATE"
"EwS_T7","SRR5222555.fastq.gz","CALCULATE"
"EwS_T8","SRR5222556.fastq.gz","CALCULATE"
"EwS_T9","SRR5222557.fastq.gz","CALCULATE"
"EwS_T10","SRR5222558.fastq.gz","CALCULATE"
"EwS_T11","SRR5222559.fastq.gz","CALCULATE"
"EwS_T12","SRR5222560.fastq.gz","CALCULATE"
"EwS_T13","SRR5222561.fastq.gz","CALCULATE"
"EwS_T14","SRR5222562.fastq.gz","CALCULATE"
"EwS_T15","SRR5222563.fastq.gz","CALCULATE"
"EwS_T16","SRR5222564.fastq.gz","CALCULATE"
"EwS_T17","SRR5222565.fastq.gz","CALCULATE"
"EwS_T18","SRR5222566.fastq.gz","CALCULATE"
"EwS_T19","SRR5222567.fastq.gz","CALCULATE"
"EwS_T20","SRR5222568.fastq.gz","CALCULATE"
"EwS_T21","SRR5222569.fastq.gz","CALCULATE"
"EwS_T22","SRR5222570.fastq.gz","CALCULATE"
"EwS_T23","SRR5222571.fastq.gz","CALCULATE"
"EwS_T24","SRR5222572.fastq.gz","CALCULATE"
"EwS_T25","SRR5222573.fastq.gz","CALCULATE"
"EwS_T26","SRR5222574.fastq.gz","CALCULATE"
"EwS_T27","SRR5222575.fastq.gz","CALCULATE"
"EwS_T28","SRR5222576.fastq.gz","CALCULATE"
"EwS_T29","SRR5222577.fastq.gz","CALCULATE"
"EwS_T30","SRR5222578.fastq.gz","CALCULATE"
"EwS_T31","SRR5222579.fastq.gz","CALCULATE"
"EwS_T32","SRR5222580.fastq.gz","CALCULATE"
"EwS_T33","SRR5222581.fastq.gz","CALCULATE"
"EwS_T34","SRR5222582.fastq.gz","CALCULATE"
"EwS_T35","SRR5222583.fastq.gz","CALCULATE"
"EwS_T36","SRR5222584.fastq.gz","CALCULATE"
"EwS_T37","SRR5222585.fastq.gz","CALCULATE"
"EwS_T38","SRR5222586.fastq.gz","CALCULATE"
"EwS_T39","SRR5222587.fastq.gz","CALCULATE"
"EwS_T40","SRR5222588.fastq.gz","CALCULATE"
"EwS_T41","SRR5222589.fastq.gz","CALCULATE"
"EwS_T42","SRR5222590.fastq.gz","CALCULATE"
"EwS_T43","SRR5222591.fastq.gz","CALCULATE"
"EwS_T44","SRR5222592.fastq.gz","CALCULATE"
"EwS_T45","SRR5222593.fastq.gz","CALCULATE"
"EwS_T46","SRR5222594.fastq.gz","CALCULATE"
"EwS_T47","SRR5222595.fastq.gz","CALCULATE"
"EwS_T48","SRR5222596.fastq.gz","CALCULATE"
"EwS_T49","SRR5222597.fastq.gz","CALCULATE"
"EwS_T50","SRR5222598.fastq.gz","CALCULATE"
"EwS_T51","SRR5222599.fastq.gz","CALCULATE"
"EwS_T52","SRR5222600.fastq.gz","CALCULATE"
"EwS_T53","SRR5222601.fastq.gz","CALCULATE"
"EwS_T54","SRR5222602.fastq.gz","CALCULATE"
"EwS_T55","SRR5222603.fastq.gz","CALCULATE"
"EwS_T56","SRR5222604.fastq.gz","CALCULATE"
"EwS_T57","SRR5222605.fastq.gz","CALCULATE"
"EwS_T58","SRR5222606.fastq.gz","CALCULATE"
"EwS_T59","SRR5222607.fastq.gz","CALCULATE"
"EwS_T60","SRR5222608.fastq.gz","CALCULATE"
"EwS_T61","SRR5222609.fastq.gz","CALCULATE"
"EwS_T62","SRR5222610.fastq.gz","CALCULATE"
"EwS_T63","SRR5222611.fastq.gz","CALCULATE"
"EwS_T64","SRR5222612.fastq.gz","CALCULATE"
"EwS_T65","SRR5222613.fastq.gz","CALCULATE"
"EwS_T66","SRR5222614.fastq.gz","CALCULATE"
"EwS_T67","SRR5222615.fastq.gz","CALCULATE"
"EwS_T68","SRR5222616.fastq.gz","CALCULATE"
"EwS_T69","SRR5222617.fastq.gz","CALCULATE"
"EwS_T70","SRR5222618.fastq.gz","CALCULATE"
"EwS_T71","SRR5222619.fastq.gz","CALCULATE"
"EwS_T72","SRR5222620.fastq.gz","CALCULATE"
"EwS_T73","SRR5222621.fastq.gz","CALCULATE"
"EwS_T74","SRR5222622.fastq.gz","CALCULATE"
"EwS_T75","SRR5222623.fastq.gz","CALCULATE"
"EwS_T76","SRR5222624.fastq.gz","CALCULATE"
"EwS_T77","SRR5222625.fastq.gz","CALCULATE"
"EwS_T78","SRR5222626.fastq.gz","CALCULATE"
"EwS_T79","SRR5222627.fastq.gz","CALCULATE"
"EwS_T80","SRR5222628.fastq.gz","CALCULATE"
"EwS_T81","SRR5222629.fastq.gz","CALCULATE"
"EwS_T82","SRR5222630.fastq.gz","CALCULATE"
"EwS_T83","SRR5222631.fastq.gz","CALCULATE"
"EwS_T84","SRR5222632.fastq.gz","CALCULATE"
"EwS_T85","SRR5222633.fastq.gz","CALCULATE"
"EwS_T86","SRR5222634.fastq.gz","CALCULATE"
"EwS_T87","SRR5222635.fastq.gz","CALCULATE"
"EwS_T88","SRR5222636.fastq.gz","CALCULATE"
"EwS_T89","SRR5222637.fastq.gz","CALCULATE"
"EwS_T90","SRR5222638.fastq.gz","CALCULATE"
"EwS_T91","SRR5222639.fastq.gz","CALCULATE"
"EwS_T92","SRR5222640.fastq.gz","CALCULATE"
"EwS_T93","SRR5222641.fastq.gz","CALCULATE"
"EwS_T94","SRR5222642.fastq.gz","CALCULATE"
"EwS_T95","SRR5222643.fastq.gz","CALCULATE"
"EwS_T96","SRR5222644.fastq.gz","CALCULATE"
"EwS_T97","SRR5222645.fastq.gz","CALCULATE"
"EwS_T98","SRR5222646.fastq.gz","CALCULATE"
"EwS_T99","SRR5222647.fastq.gz","CALCULATE"
"EwS_T100","SRR5222648.fastq.gz","CALCULATE"
"EwS_T101","SRR5222649.fastq.gz","CALCULATE"
"EwS_T102","SRR5222650.fastq.gz","CALCULATE"
"EwS_T103","SRR5222651.fastq.gz","CALCULATE"
"EwS_T104","SRR5222652.fastq.gz","CALCULATE"
"EwS_T105","SRR5222653.fastq.gz","CALCULATE"
"EwS_T106","SRR5222654.fastq.gz","CALCULATE"
"EwS_T107","SRR5222655.fastq.gz","CALCULATE"
"EwS_T108","SRR5222656.fastq.gz","CALCULATE"
"EwS_T109","SRR5222657.fastq.gz","CALCULATE"
"EwS_T110","SRR5222658.fastq.gz","CALCULATE"
"EwS_T111","SRR5222659.fastq.gz","CALCULATE"
"EwS_T112","SRR5222660.fastq.gz","CALCULATE"
"EwS_T113","SRR5222661.fastq.gz","CALCULATE"
"EwS_T114","SRR5222662.fastq.gz","CALCULATE"
"EwS_T115","SRR5222663.fastq.gz","CALCULATE"
"EwS_T116","SRR5222664.fastq.gz","CALCULATE"
"EwS_T117","SRR5222665.fastq.gz","CALCULATE"
"EwS_T118","SRR5222666.fastq.gz","CALCULATE"
"EwS_T119","SRR5222667.fastq.gz","CALCULATE"
"EwS_T120","SRR5222668.fastq.gz","CALCULATE"
"EwS_T121","SRR5222669.fastq.gz","CALCULATE"
"EwS_T122","SRR5222670.fastq.gz","CALCULATE"
"EwS_T123","SRR5222671.fastq.gz","CALCULATE"
"EwS_T124","SRR5222672.fastq.gz","CALCULATE"
"EwS_T125","SRR5222673.fastq.gz","CALCULATE"
"EwS_T126","SRR5222674.fastq.gz","CALCULATE"
"EwS_T127","SRR5222675.fastq.gz","CALCULATE"
"EwS_T129","SRR5222676.fastq.gz","CALCULATE"
"EwS_T130","SRR5222677.fastq.gz","CALCULATE"
"EwS_T131","SRR5222678.fastq.gz","CALCULATE"
"EwS_T132","SRR5222679.fastq.gz","CALCULATE"
"EwS_T133","SRR5222680.fastq.gz","CALCULATE"
"EwS_T134","SRR5222681.fastq.gz","CALCULATE"
"EwS_T135","SRR5222682.fastq.gz","CALCULATE"
"EwS_T136","SRR5222683.fastq.gz","CALCULATE"
"EwS_T137","SRR5222684.fastq.gz","CALCULATE"
"EwS_T138","SRR5222685.fastq.gz","CALCULATE"
"EwS_T139","SRR5222686.fastq.gz","CALCULATE"
"EwS_T140","SRR5222687.fastq.gz","CALCULATE"
"EwS_T141","SRR5222688.fastq.gz","CALCULATE"
"EwS_L2","SRR5222689.fastq.gz","CALCULATE"
"EwS_L3","SRR5222690.fastq.gz","CALCULATE"
"EwS_L4","SRR5222691.fastq.gz","CALCULATE"
"EwS_L5","SRR5222692.fastq.gz","CALCULATE"
"EwS_L6","SRR5222693.fastq.gz","CALCULATE"
"EwS_L7","SRR5222694.fastq.gz","CALCULATE"
"EwS_L8","SRR5222695.fastq.gz","CALCULATE"
"EwS_L9","SRR5222696.fastq.gz","CALCULATE"
"EwS_L10","SRR5222697.fastq.gz","CALCULATE"
"EwS_L11","SRR5222698.fastq.gz","CALCULATE"
"EwS_L12","SRR5222699.fastq.gz","CALCULATE"
"EwS_L13","SRR5222700.fastq.gz","CALCULATE"
"EwS_L14","SRR5222701.fastq.gz","CALCULATE"
"EwS_L15","SRR5222702.fastq.gz","CALCULATE"
"EwS_L16","SRR5222703.fastq.gz","CALCULATE"
"EwS_L17","SRR5222704.fastq.gz","CALCULATE"
"MSC_1","SRR5222705.fastq.gz","CALCULATE"
"MSC_2","SRR5222706.fastq.gz","CALCULATE"
"MSC_3","SRR5222707.fastq.gz","CALCULATE"
"MSC_4","SRR5222708.fastq.gz","CALCULATE"
"MSC_5","SRR5222709.fastq.gz","CALCULATE"
"MSC_6","SRR5222710.fastq.gz","CALCULATE"
"MSC_7","SRR5222711.fastq.gz","CALCULATE"
"MSC_8","SRR5222712.fastq.gz","CALCULATE"
"MSC_9","SRR5222713.fastq.gz","CALCULATE"
"MSC_10","SRR5222714.fastq.gz","CALCULATE"
"MSC_11","SRR5222715.fastq.gz","CALCULATE"
"MSC_12","SRR5222716.fastq.gz","CALCULATE"
"MSC_13","SRR5222717.fastq.gz","CALCULATE"
"MSC_14","SRR5222718.fastq.gz","CALCULATE"
"MSC_15","SRR5222719.fastq.gz","CALCULATE"
"MSC_16","SRR5222720.fastq.gz","CALCULATE"
"MSC_17","SRR5222721.fastq.gz","CALCULATE"
"MSC_18","SRR5222722.fastq.gz","CALCULATE"
"MSC_19","SRR5222723.fastq.gz","CALCULATE"
"MSC_20","SRR5222724.fastq.gz","CALCULATE"
"MSC_21","SRR5222725.fastq.gz","CALCULATE"
"MSC_22","SRR5222726.fastq.gz","CALCULATE"
"MSC_23","SRR5222727.fastq.gz","CALCULATE"
"MSC_24","SRR5222728.fastq.gz","CALCULATE"
"MSC_25","SRR5222729.fastq.gz","CALCULATE"
"MSC_26","SRR5222730.fastq.gz","CALCULATE"
"MSC_27","SRR5222731.fastq.gz","CALCULATE"
"MSC_28","SRR5222732.fastq.gz","CALCULATE"
"MSC_29","SRR5222733.fastq.gz","CALCULATE"
