sample_name,fastq_path,library
EwS_T1,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222549.fastq.gz,CALCULATE
EwS_T2,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222550.fastq.gz,CALCULATE
EwS_T3,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222551.fastq.gz,CALCULATE
EwS_T4,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222552.fastq.gz,CALCULATE
EwS_T5,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222553.fastq.gz,CALCULATE
EwS_T6,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222554.fastq.gz,CALCULATE
EwS_T7,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222555.fastq.gz,CALCULATE
EwS_T8,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222556.fastq.gz,CALCULATE
EwS_T9,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222557.fastq.gz,CALCULATE
EwS_T10,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222558.fastq.gz,CALCULATE
EwS_T11,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222559.fastq.gz,CALCULATE
EwS_T12,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222560.fastq.gz,CALCULATE
EwS_T13,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222561.fastq.gz,CALCULATE
EwS_T14,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222562.fastq.gz,CALCULATE
EwS_T15,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222563.fastq.gz,CALCULATE
EwS_T16,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222564.fastq.gz,CALCULATE
EwS_T17,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222565.fastq.gz,CALCULATE
EwS_T18,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222566.fastq.gz,CALCULATE
EwS_T19,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222567.fastq.gz,CALCULATE
EwS_T20,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222568.fastq.gz,CALCULATE
EwS_T21,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222569.fastq.gz,CALCULATE
EwS_T22,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222570.fastq.gz,CALCULATE
EwS_T23,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222571.fastq.gz,CALCULATE
EwS_T24,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222572.fastq.gz,CALCULATE
EwS_T25,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222573.fastq.gz,CALCULATE
EwS_T26,/DEEP_fhgfs/projects/mscherer/data/RRBS/Ewing_complete/fastq//SRR5222574.fastq.gz,CALCULATE
